icon 0: {'type': 'text', 'bbox': [0.06451612710952759, 0.01984127052128315, 0.15645161271095276, 0.035353533923625946], 'interactivity': False, 'content': '13:35', 'source': 'box_ocr_content_ocr'}
icon 27: {'type': 'icon', 'bbox': [0.2150285243988037, 0.017678501084446907, 0.2573264241218567, 0.03540299832820892], 'interactivity': True, 'content': 'A web browser or application.', 'source': 'box_yolo_content_yolo'}
icon 28: {'type': 'icon', 'bbox': [0.26515114307403564, 0.01798698492348194, 0.30500757694244385, 0.035146377980709076], 'interactivity': True, 'content': 'Refresh or reload the page.', 'source': 'box_yolo_content_yolo'}
icon 29: {'type': 'icon', 'bbox': [0.16451869904994965, 0.01722903735935688, 0.2074585258960724, 0.03560909628868103], 'interactivity': True, 'content': 'a notification or alert.', 'source': 'box_yolo_content_yolo'}
icon 30: {'type': 'icon', 'bbox': [0.8846264481544495, 0.1949588656425476, 0.9680558443069458, 0.2327294498682022], 'interactivity': True, 'content': 'A close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 31: {'type': 'icon', 'bbox': [0.8079466819763184, 0.3085360527038574, 0.8650847673416138, 0.33323934674263], 'interactivity': True, 'content': 'a loading or buffering indicator.', 'source': 'box_yolo_content_yolo'}
icon 32: {'type': 'icon', 'bbox': [0.20472820103168488, 0.23086926341056824, 0.5258313417434692, 0.2559398412704468], 'interactivity': True, 'content': 'Red writing or a message.', 'source': 'box_yolo_content_yolo'}
icon 33: {'type': 'icon', 'bbox': [0.9173892140388489, 0.13916662335395813, 0.9656181931495667, 0.17197610437870026], 'interactivity': True, 'content': 'a push pin or arrow.', 'source': 'box_yolo_content_yolo'}
icon 34: {'type': 'icon', 'bbox': [0.039511509239673615, 0.137388676404953, 0.11762446910142899, 0.1718970537185669], 'interactivity': True, 'content': 'A checkmark indicating a task or confirmation.', 'source': 'box_yolo_content_yolo'}
icon 35: {'type': 'icon', 'bbox': [0.8740979433059692, 0.30522170662879944, 0.9467300176620483, 0.3346148133277893], 'interactivity': True, 'content': 'A symbol or symbol related to writing or writing.', 'source': 'box_yolo_content_yolo'}
icon 36: {'type': 'icon', 'bbox': [0.7251948714256287, 0.478945255279541, 0.7709580063819885, 0.5015891194343567], 'interactivity': True, 'content': 'the symbol for writing or marking.', 'source': 'box_yolo_content_yolo'}
icon 37: {'type': 'icon', 'bbox': [0.05158185213804245, 0.7285323739051819, 0.13640858232975006, 0.7513722777366638], 'interactivity': True, 'content': 'A symbol or symbol related to Japanese language.', 'source': 'box_yolo_content_yolo'}
icon 38: {'type': 'icon', 'bbox': [0.1140601709485054, 0.14122739434242249, 0.3883136808872223, 0.16314959526062012], 'interactivity': True, 'content': 'A tool for adding a new item or element.', 'source': 'box_yolo_content_yolo'}
icon 39: {'type': 'icon', 'bbox': [0.876347005367279, 0.14239002764225006, 0.9199874401092529, 0.16704371571540833], 'interactivity': True, 'content': 'Adding a new item or element.', 'source': 'box_yolo_content_yolo'}
icon 40: {'type': 'icon', 'bbox': [0.6803869009017944, 0.47867441177368164, 0.7268859148025513, 0.5029536485671997], 'interactivity': True, 'content': 'the top line or bottom line.', 'source': 'box_yolo_content_yolo'}
icon 41: {'type': 'icon', 'bbox': [0.6691434383392334, 0.9830003380775452, 0.9905670285224915, 1.0], 'interactivity': True, 'content': 'a blank space or screen.', 'source': 'box_yolo_content_yolo'}
